delayB,RTT ratio,A-D goodput,B-D goodput,(RTT ratio)^2,goodput ratio
0,1.000000,14863,14771,1.000000,1.006228
5,1.045455,4229,24545,1.092975,0.172296
23,1.209091,22142,6879,1.461901,3.218782
24,1.218182,17683,9842,1.483967,1.796688
25,1.227273,14958,13754,1.506198,1.087538
26,1.236364,24034,5137,1.528595,4.678606
35,1.318182,16932,11395,1.737603,1.485915
36,1.327273,25790,3603,1.761653,7.157924
40,1.363636,20005,8580,1.859504,2.331585
41,1.372727,24977,4215,1.884380,5.925741
45,1.409091,18437,10211,1.985537,1.805602
60,1.545455,18891,9891,2.388430,1.909918
61,1.554545,25834,3135,2.416612,8.240510
85,1.772727,20463,8206,3.142562,2.493663
110,2.000000,22624,5941,4.000000,3.808113
